Chinese,Pinyin
下班,xià bān
下边,xià biān
下车,xià chē
下次,xià cì
下课,xià kè
下午,xiàwǔ
下雨,xiàyǔ
先,xiān
先生,xiānsheng
现在,xiànzài
想,xiǎng
小,xiǎo
小孩儿,xiǎo háir
小姐,xiǎojiě
小朋友,xiǎo péng yǒu
小时,xiǎoshí
小学,xiǎo xué
小学生,xiǎo xué shēng
笑,xiào
写,xiě
谢谢,xièxie
新,xīn
新年,xīn nián
星期,xīngqī
星期日,xīng qī rì
星期天,xīng qī tiān
行,xíng
休息,xiūxi
学,xué
学生,xuésheng
学习,xuéxí
学校,xuéxiào
学院,xué yuàn
要,yào
爷爷,yéye
也,yě
页,yè
一,yī
衣服,yīfu
医生,yīshēng
医院,yīyuàn
一半,yí bàn
一会儿,yíhuìr
一块儿,yí kuàir
一下儿,yí xiàr
一样,yíyàng
一边,yìbiān
一点儿,yīdiǎnr
一起,yìqǐ
一些,yì xiē
用,yòng
有,yǒu
有的,yǒu de
有名,yǒumíng
有时候,yǒu shí hòu
有时,yǒu shí
有些,yǒu  xiē
有用,yǒu yòng
右,yòu
右边,yòubian
雨,yǔ
元,yuán
远,yuǎn
月,yuè
再,zài
再见,zàijiàn
在,zài
在家,zài jiā
早,zǎo
早饭,zǎo fàn
早上,zǎoshang
怎么,zěnme
站,zhàn
找,zhǎo
找到,zhǎo dào
这,zhè
这边,zhè biān
这里,zhè lǐ
这儿,zhèr
这些,zhè xiē
着,zhe
真,zhēn
真的,zhēn de
正,zhèng
正在,zhèngzài
知道,zhīdào
知识,zhīshi
中,zhōng
中国,zhōngguó
中间,zhōngjiān
中文,zhōngwén
中午,zhōngwǔ
中学,zhōng xué
中学生,zhōng xué shēng
重,zhòng
重要,zhòngyào
住,zhù
准备,zhǔnbèi
桌子,zhuōzi
字,zì
子,zi 
走,zǒu
走路,zǒu lù
最,zuì
最好,zuìhǎo
最后,zuìhòu
昨天,zuótiān
左,zuǒ
左边,zuǒbian
坐,zuò
坐下,zuò xià
啊 ,a
爱情,àiqíng
爱人,ài rén
安静,ānjìng
安全,ānquán
白色,bái sè
班长,bān zhǎng
办,bàn
办法,bànfǎ
办公室,bàngōngshì
半夜,bàn yè
帮助,bāngzhù
饱,bǎo
报名,bàomíng
报纸,bàozhǐ
北方,běifāng
背,bēi
比如,bǐrú
比如说,bǐ rú shuō
笔,bǐ
笔记,bǐ jì
笔记本,bǐjìběn
必须,bìxū
边,biān
变,biàn
变成,biàn chéng
遍,biàn
表,biǎo
表示,biǎoshì
不错,bú cuò
不但,bú dàn
不够,bú gòu
不过,búguò
不太,bú tài
不要,bú yào
不好意思,bù hǎo yì sī
不久,bù jiǔ
不满,bù mǎn
不如,bùrú
不少,bù shǎo
不同,bù tóng
不行,bù xíng
不一定,bù yī dìng
不一会儿,bù yī huìr
部分,bùfen
才,cái
菜单,càidān
参观,cānguān
参加,cānjiā
草,cǎo
草地,cǎo dì
层,céng
查,chá
差不多,chàbuduō
长,cháng
常见,cháng jiàn
常用,cháng yòng
场,chǎng
超过,chāoguò
超市,chāoshì
车辆,chē liàng
称¹,chēng
成,chéng
成绩,chéngjì
成为,chéngwéi
重复,chóngfù
重新,chóngxīn
出发,chūfā
出国,chū guó
出口,chū kǒu
出门,chū mén
