Pinyin,Wade-Giles,Romatzyh
xue,hsueh,sheue
yanse,yanse,yanseh
yan,yan,yean
yanjing,yanjing,yeanjing
yang,yang,yeang
yangzi,yangzi,yanqzi
yaoqiu,yaochiu,iauchyou
yao,yao,yaw
yaodian,yaotien,yawdiann
yaopian,yaopien,yawpiann
yaoshui,yaoshui,yawshoei
yexu,yehhsu,yeesheu
ye,yeh,yeh
yijing,iching,yiijing
yihou,ihou,yiihow
yiqian,ichien,yiichyan
yishang,ishang,yiishanq
yiwai,iwai,yiiway
yiwei,iwei,yiiwei
yixia,ihsia,yiishiah
yizi,izi,yiizi
yi,i,yih
yijian,ichien,yihjiann
yisi,isi,yihsi
yinwei,yinwei,inwey
yin,yin,in
yintian,yintien,intian
yinjie,yinchieh,injye
yinyue,yinyueh,inyueh
yinyuehui,yinyuehhui,inyuehhuey
yinhang,yinhang,ynharng
yinhangka,yinhangka,ynharngkaa
yinggai,yingkai,inggai
yingwen,yingwen,ingwen
yingyu,yingyu,ingyeu
yingpian,yingpien,yiingpiann
yingxiang,yinghsiang,yiingsheang
yongyuan,yungyuan,yeongyeuan
you,yu,you
youke,yuko,youkeh
youhao,yuhao,yeouhao
youren,yujen,yeouren
youdianr,yutienr,yeoudeanr
youyisi,yuisi,yeouyihsi
you,yu,yow
yu,yu,yu
yuyan,yuyan,yeuyan
yuanlai,yuanlai,yuanlai
yuanyin,yuanyin,yuanin
yuan,yuan,yuann
yuanzhang,yuanchang,yuannjaang
yuanzi,yuanzi,yuannzi
yuanyi,yuani,yuannyih
yuefen,yuehfen,yuehfenn
yueliang,yuehliang,yuehliang
yue,yueh,yueh
yuelaiyue,yuehlaiyueh,yuehlaiyueh
yun,yun,yun
yundong,yuntung,yunndonq
zan,tsan,tzarn
zanmen,tsanmen,tzarnmen
zaocan,tsaotsan,tzaotsan
zaochen,tsaochen,tzaochern
zaojiu,tsaochiu,tzaojiow
zenmeban,tsenmepan,tzeenmebann
zenmeyang,tsenmeyang,tzeenmeyanq
zenyang,tsenyang,tzeenyanq
zhan,chan,jann
zhan,chan,jann
zhanzhu,chanchu,jannjuh
zhang,chang,jaang
zhangda,changta,jaangdah
zhaochu,chaochu,jaochu
zhaopian,chaopien,jawpiann
zhaoxiang,chaohsiang,jawshianq
zheme,cheme,jehme
zheyang,cheyang,jehyanq
zhenzheng,chencheng,jenjenq
zhengchang,chengchang,jenqcharng
zhenghao,chenghao,jenqhao
zhengque,chengchueh,jenqchiueh
zhengshi,chengshih,jenqshyh
zhijie,chihchieh,jyrjie
zhi,chih,jyy
zhineng,chihneng,jyyneng
zhiyao,chihyao,jyyyaw
zhi,chih,jyy
zhongcan,chungtsan,jongtsan
zhongji,chungchi,jongjyi
zhongnian,chungnien,jongnian
zhongxiaoxue,chunghsiaohsueh,jongsheaushyue
zhongxin,chunghsin,jongshin
zhongyi,chungi,jongi
zhongshi,chungshih,jonqshyh
zhou,chou,jou
zhoumo,choumo,joumoh
zhounian,chounien,jounian
zhuren,chujen,juuren
zhuyao,chuyao,juuyaw
zhufang,chufang,juhfarng
zhuyuan,chuyuan,juhyuann
zhuang,chuang,juang
zhunque,chunchueh,joenchiueh
ziji,tzuchi,tzyhjii
zixingche,tzuhsingche,tzyhshyngche
ziyou,tzuyu,tzyhyou
zidian,tzutien,tzyhdean
zouguo,tsoukuo,tzoouguoh
zoujin,tsouchin,tzooujinn
zoukai,tsoukai,tzooukai
zu,tsu,tzu
zu,tsu,tzuu
zucheng,tsucheng,tzuucherng
zuzhang,tsuchang,tzuujaang
zui,tsui,tzoei
zuijin,tsuichin,tzueyjinn
zuojia,tsochia,tzuohjia
zuowen,tsowen,tzuohwen
zuoye,tsoyeh,tzuohyeh
zuoyong,tsoyung,tzuohyonq
zuo,tso,tzuoh
zuowei,tsowei,tzuohwey
zuodao,tsotao,tzuohdaw
zuofa,tsofa,tzuohfaa
aixin,aihsin,ayshin
anpai,anpai,anpair
anzhuang,anchuang,anjuang
an,an,ann
anzhao,anchao,annjaw
ba,pa,baa
ba,pa,baa
bawo,pawo,baawoh
bai,pai,bair
baicai,paitsai,bairtsay
banji,panchi,banjyi
ban,pan,ban
banjia,panchia,banjia
ban,pan,baan
banli,panli,bannlii
bao,pao,bao
baoan,paoan,baoan
baochi,paochih,baochyr
baocun,paotsun,baotswen
baohu,paohu,baohuh
baoliu,paoliu,baoliou
baoxian,paohsien,baoshean
baozheng,paocheng,baojenq
bao,pao,baw
baodao,paotao,bawdaw
baodao,paotao,bawdaw
baogao,paokao,bawgaw
bei,pei,bey
beibu,peipu,beeibuh
bei,pei,bey
beihou,peihou,beyhow
bei,pei,bey
beizi,peizi,beyzi
benlai,penlai,beenlai
benling,penling,beenliing
bijiao,pichiao,biijiaw
bili,pili,biilih
bisai,pisai,biisay
biran,pijan,bihran
biyao,piyao,bihyaw
bianhua,pienhua,biannhuah
bianwei,pienwei,biannwei
biaoti,piaoti,biautyi
biaozhun,piaochun,biaujoen
biaoda,piaota,beaudar
biaoge,piaoko,beauger
biaomian,piaomien,beaumiann
biaoming,piaoming,beauming
biaoxian,piaohsien,beaushiann
biaoyan,piaoyan,beauyean
bing,ping,binq
bingqie,pingchieh,binqchiee
bochu,pochu,bochu
bofang,pofang,bofanq
bu,pu,buu
buchong,puchung,buuchong
bu’an,puan,buhan
budebu,putepu,buhderbuh
buguang,pukuang,buhguang
bujin,puchin,buhjiin
bu,pu,buh
bu,pu,buh
bu,pu,buh
bumen,pumen,buhmen
buzhang,puchang,buhjaang
caineng,tsaineng,tsairneng
caiqu,tsaichu,tsaecheu
caiyong,tsaiyung,tsaeyonq
caise,tsaise,tsaeseh
cengjing,tsengching,tserngjing
chansheng,chansheng,chaansheng
Changcheng,changcheng,charngcherng
changchu,changchu,charngchuh
changqi,changchi,charngchi
changhe,changho,chaangher
changsuo,changso,chaangsuoo
chaoji,chaochi,chaujyi
chao,chao,chaur
chao,chao,chao
chaojia,chaochia,chaojiah
chenshan,chenshan,chennshan
chenyi,cheni,chenni
chengwei,chengwei,chengwei
chenggong,chengkung,chernggong
chengguo,chengkuo,cherngguoo
chengjiu,chengchiu,cherngjiow
chengli,chengli,chernglih
chengshu,chengshu,cherngshwu
chengyuan,chengyuan,cherngyuan
chengzhang,chengchang,cherngjaang
cheng,cheng,cherng
chengshi,chengshih,cherngshyh
chengdu,chengtu,cherngduh
chixu,chihhsu,chyrshiuh
chongman,chungman,chongmaan
chu,chu,chu
chu,chu,chu
chubu,chupu,chubuh
chuji,chuchi,chujyi
chuzhong,chuchung,chujong
chule,chule,chwule
chuli,chuli,chuulii
chuan,chuan,chwan
chuanbo,chuanpo,chwanbo
chuanlai,chuanlai,chwanlai
chuanshuo,chuanshuo,chwanshuo
chuangxin,chuanghsin,chuanqshin
chuangye,chuangyeh,chuanqyeh
chuangzao,chuangtsao,chuanqtzaw
chuangzuo,chuangtso,chuanqtzuoh
conglai,tsunglai,tsornglai
congqian,tsungchien,tsorngchyan
congshi,tsungshih,tsorngshyh
cun,tsun,tsuen
cun,tsun,tswen
cunzai,tsuntsai,tswentzay
cuowu,tsowu,tsuohwuh
dadao,tatao,dardaw
dapo,tapo,daapoh
dating,tating,daating
dagai,takai,dahgay
dashiguan,tashihkuan,dahshyygoan
dayue,tayueh,dahiue
dai,tai,day
daibiao,taipiao,daybeau
daibiaotuan,taipiaotuan,daybeautwan
daidong,taitung,daydonq
dailing,tailing,dayliing
danyuan,tanyuan,danyuan
dangchu,tangchu,dangchu
dangdi,tangti,dangdih
dangran,tangjan,dangran
dangzhong,tangchung,dangjong
dao,tao,dau
daoyan,taoyan,daoyean
daoda,taota,dawdar
daodi,taoti,dawdii
defen,tefen,derfen
dengdai,tengtai,deengday
diqu,tichu,dihchiu
dianshiju,tienshihchu,diannshyhjiuh
dianshitai,tienshihtai,diannshyhtair
diantai,tientai,dianntair
dianziyoujian,tientzuyuchien,dianntzyyyoujiann
diao,tiao,diaw
diaocha,tiaocha,diawchar
ding,ting,dinq
dingqi,tingchi,dinqchi
dongbu,tungpu,dongbuh
dongli,tungli,donqlih
dongren,tungjen,donqren
duzhe,tuche,dwujee
duanchu,tuanchu,doanchuh
duanku,tuanku,doankuh
duanqi,tuanchi,doanchi
duan,tuan,duann
duiyuan,tuiyuan,dueyyuan
duidai,tuitai,dueyday
duifang,tuifang,dueyfang
duishou,tuishou,dueyshoou
duixiang,tuihsiang,dueyshianq
dun,tun,duenn
fabiao,fapiao,fabeau
fachu,fachu,fachu
fada,fata,fadar
fadong,fatung,fadonq
faming,faming,faming
fasheng,fasheng,fasheng
fasong,fasung,fasonq
fayan,fayan,fayan
fazhan,fachan,fajaan
fandui,fantui,faanduey
fanfu,fanfu,faanfuh
fanying,fanying,faanyinq
fanzheng,fancheng,faanjenq
fanwei,fanwei,fannwei
fangshi,fangshih,fangshyh
fang,fang,farng
fangzhi,fangchih,farngjyy
fangdong,fangtung,farngdong
fangwu,fangwu,farngu
fangzu,fangtsu,farngtzu
fangwen,fangwen,faangwenn
fangdao,fangtao,fanqdaw
feixing,feihsing,feishyng
fei,fei,fey
feiyong,feiyung,feyyonq
fenbie,fenpieh,fenbye
fenpei,fenpei,fenpey
fenzu,fentsu,fentzuu
fengfu,fengfu,fengfuh
fengxian,fenghsien,fengshean
fouding,fouting,fooudinq
fouren,foujen,foourenn
fuzhuang,fuchuang,fwujuang
fu,fu,fwu
fumu,fumu,fuhmuu
fuqin,fuchin,fuhchin
fu,fu,fuh
fuze,futse,fuhtzer
fuyin,fuyin,fuhyinn
fuza,futsa,fuhtzar
fu,fu,fuh
gaijin,kaichin,gaejinn
gaizao,kaitsao,gaetzaw
gainian,kainien,gayniann
gan,kan,gaan
gandao,kantao,gaandaw
ganjin,kanchin,gaanjiin
gankuai,kankuai,gaankuay
gan,kan,gaan
ganmao,kanmao,gaanmaw
ganqing,kanching,gaanchyng
ganshou,kanshou,gaanshow
ganma,kanma,gannma
gaosu,kaosu,gausuh
gaosugonglu,kaosukunglu,gausuhgongluh
gaobie,kaopieh,gawbye
gemi,komi,gemi
gesheng,kosheng,gesheng
geshou,koshou,geshoou
geren,kojen,gehren
gexing,kohsing,gehshinq
ge,ko,geh
gedi,koti,gehdih
gewei,kowei,gehwey
gezhong,kochung,gehjoong
gezi,kotzu,gehtzyh
genben,kenpen,genbeen
gengjia,kengchia,genqjia
gongchang,kungchang,gongchaang
gongchengshi,kungchengshih,gongcherngshy
gongfu,kungfu,gongfu
gongju,kungchu,gongjiuh
gongye,kungyeh,gongyeh
gongzi,kungtzu,gongtzy
gongbu,kungpu,gongbuh
gonggong,kungkung,gonggonq
gongkai,kungkai,gongkai
gongmin,kungmin,gongmin
gongwuyuan,kungwuyuan,gongwuhyuan
gongfu,kungfu,gongfu
gongke,kungko,gongkeh
gongneng,kungneng,gongneng
gongtong,kungtung,gonqtorng
gongyou,kungyu,gonqyeou
guniang,kuniang,guniang
gu,ku,guu
gudai,kutai,guuday
guxiang,kuhsiang,guhshiang
gua,kua,guah
guanzhu,kuanchu,guanjuh
guancha,kuancha,guanchar
guankan,kuankan,guankann
guannian,kuannien,guanniann
guanzhong,kuanchung,guanjonq
guan,kuan,goan
guanli,kuanli,goanlii
guang,kuang,guang
guangming,kuangming,guangming
guangbo,kuangpo,goangbo
guangda,kuangta,goangdah
guiding,kueiting,gueidinq
guifan,kueifan,gueifann
guonei,kuonei,gwoney
guoqing,kuoching,gwochinq
guoran,kuojan,guooran
guozhi,kuochih,guoojy
guocheng,kuocheng,guohcherng
guoqu,kuochu,guohchiuh
haha,haha,haha
haiguan,haikuan,haeguan
haipa,haipa,haypah
hang,hang,harng
haohao,haohao,haohao
haoqi,haochi,hawchyi
he,ho,her
hefa,hofa,herfaa
hege,hoko,herger
heli,holi,herlii
hezuo,hotso,hertzuoh
heping,hoping,herpyng
hongcha,hungcha,horngchar
hongjiu,hungchiu,horngjeou
houguo,houkuo,howguoo
hounian,hounien,hownian
hulianwang,hulienwang,huhlianwoang
huxiang,huhsiang,huhshiang
huachuan,huachuan,hwachwan
huaren,huajen,hwaren
hua,hua,huah
huaju,huachu,huahjiuh
huati,huati,huahtyi
huanle,huanle,huanleh
huan,huan,hwan
huanbao,huanpao,hwanbao
huanjing,huanching,hwanjinq
huiyi,huii,hueyyih
huiyuan,huiyuan,hueyyuan
huo,huo,hwo
huo,huo,huoo
jiqi,chichi,jichih
jiji,chichi,jijyi
jiben,chipen,jibeen
jichu,chichu,jichuu
jishi,chishih,jyishyr
…jile,…jile,…jile
jiti,chiti,jyitii
jizhong,chichung,jyijong
jisuan,chisuan,jihsuann
jilu,chilu,jihluh
jizhe,chiche,jihjee
jilu,chilu,jihluh
jinian,chinien,jihniann
jishu,chishu,jihshuh
jixu,chihsu,jihshiuh
jiagong,chiakung,jiagong
jiakuai,chiakuai,jiakuay
jiaqiang,chiachiang,jiachyang
jiaju,chiachu,jiajiuh
jiashu,chiashu,jiashuu
jiaxiang,chiahsiang,jiashiang
jiage,chiako,jiahger
jiazhi,chiachih,jiahjyr
jia,chia,jiah
jianchi,chienchih,jianchyr
jianjue,chienchueh,jianjyue
jianqiang,chienchiang,jianchyang
jiandan,chientan,jeandan
jianzhi,chienchih,jeanjyr
jian,chien,jiann
jiancheng,chiencheng,jianncherng
jianli,chienli,jiannlih
jianshe,chienshe,jiannsheh
jianyi,chieni,jiannyih
jiangjin,chiangchin,jiangjinn
jianglai,chianglai,jianglai
jiaofei,chiaofei,jiaufey
jiaojing,chiaoching,jiaujiing
jiaoliu,chiaoliu,jiauliou
jiaowang,chiaowang,jiauwoang
jiaoyi,chiaoi,jiauyih
jiao,chiao,jiaw
jiao,chiao,jiaw
jiaocai,chiaotsai,jiawtsair
jiaolian,chiaolien,jiawliann
jiedai,chiehtai,jieday
jiejin,chiehchin,jiejinn
jieyue,chiehyueh,jyeiue
jiehe,chiehho,jyeher
jiehun,chiehhun,jyehuen
jieshu,chiehshu,jyeshuh
jiejue,chiehchueh,jieejyue
jiekai,chiehkai,jieekai
jin,chin,jin
jinpai,chinpai,jinpair
jin,chin,jiin
jinjin,chinchin,jiinjiin
jinliang,chinliang,jiinlianq
jin,chin,jiin
jinji,chinchi,jiinjyi
jinzhang,chinchang,jiinjang
jinbu,chinpu,jinnbuh
jinzhan,chinchan,jinnjaan
jinqi,chinchi,jinnchi
jingju,chingchu,jingjiuh
jingji,chingchi,jingjih
jingli,chingli,jinglih
jingyan,chingyan,jingyann
jingying,chingying,jingyng
jingcai,chingtsai,jingtsae
jingshen,chingshen,jingshern
jingse,chingse,jiingseh
jingcha,chingcha,jiingchar
jing,ching,jinq
jiu,chiu,jeou
jiu,chiu,jiow
jiu,chiu,jiow
jiushi,chiushih,jiowshyh
jiuye,chiuyeh,jiowyeh
juban,chupan,jeubann
juti,chuti,jiuhtii
juyou,chuyu,jiuhyeou
juchang,chuchang,jiuhchaang
jushuo,chushuo,jiuhshuo
jueding,chuehting,jyuedinq
juesai,chuehsai,jyuesay
juexin,chuehhsin,jyueshin
juedui,chuehtui,jyueduey
kafei,kafei,kafei
kaifa,kaifa,kaifa
kaifang,kaifang,kaifanq
kaishi,kaishih,kaishyy
kaiye,kaiyeh,kaiyeh
kaizhan,kaichan,kaijaan
kaoyan,kaoyan,kaoyann
keji,kochi,kejih
kekao,kokao,keekaw
kele,kole,keeleh
kefu,kofu,kehfwu
keguan,kokuan,kehguan
kecheng,kocheng,kehcherng
kong,kung,kong
kongtiao,kungtiao,kongtyau
kongpa,kungpa,koongpah
kongr,kungr,konqr
kuzi,kuzi,kuhzi
kuaisu,kuaisu,kuaysuh
kun,kun,kuenn
langfei,langfei,lanqfey
laobaixing,laopaihsing,laobaeshinq
laoban,laopan,laobaan
laotaitai,laotaitai,laotaytai
laotour,laotour,laotourr
le,le,leh
leguan,lekuan,lehguan
lei,lei,ley
leisi,leissu,leysyh
lihun,lihun,lihuen
limian,limien,liimiann
lifa,lifa,liifah
lijie,lichieh,liijiee
lilun,lilun,liiluenn
liyou,liyu,liiyou
li,li,lih
like,liko,lihkeh
liyong,liyung,lihyonq
lian,lien,lian
lianmang,lienmang,lianmang
lianxu,lienhsu,lianshiuh
lianxuju,lienhsuchu,lianshiuhjiuh
lianhe,lienho,lianher
lianheguo,lienhokuo,lianhergwo
lianxi,lienhsi,lianshih
liangshui,liangshui,liangshoei
le,le,le
ling,ling,liing
lingdao,lingtao,liingdao
lingxian,linghsien,liingshian
lingwai,lingwai,linqway
liuxue,liuhsueh,lioushyue
long,lung,long
lu,lu,luh
luyin,luyin,luhin
luxian,luhsien,luhshiann
luan,luan,luann
luohou,lohou,luohhow
mafan,mafan,mafan
ma,ma,maa
manzu,mantsu,maantzwu
manman,manman,mannmann
mao,mao,mau
maobing,maoping,maubinq
meiyong,meiyung,meiyonq
meiti,meiti,meitii
mei,mei,meei
mei,mei,meei
meihao,meihao,meeihao
meili,meili,meeilih
meishi,meishih,meeishyr
meishu,meishu,meeishuh
meiyuan,meiyuan,meeiyuan
mi,mi,mi
mi,mi,mii
miandui,mientui,miannduey
mianji,mienchi,miannji
minjian,minchien,minjian
minzu,mintsu,mintzwu
mingque,mingchueh,mingchiueh
mingxian,minghsien,mingshean
mingyun,mingyun,minqyunn
mou,mou,moou
muqin,muchin,muuchin
mutou,mutou,muhtou
mubiao,mupiao,muhbiau
muqian,muchien,muhchyan
naicha,naicha,naechar
nanzi,nantzu,nantzyy
nanbu,nanpu,nanbuh
nandao,nantao,nandaw
nandu,nantu,nanduh
nei,nei,ney
neirong,neijung,neyrong
neixin,neihsin,neyshin
nengbuneng,nengbuneng,nengbuneng
nengli,nengli,nenglih
nianchu,nienchu,nianchu
niandai,nientai,nianday
niandi,nienti,niandii
nianji,nienchi,nianjih
nian,nien,niann
niu,niu,niou
nongcun,nungtsun,nongtsuen
nongmin,nungmin,nongmin
nongye,nungyeh,nongyeh
nuanhuo,nuanhuo,noanhuo
pa,pa,pah
pai,pai,pai
pai,pai,pair
paiming,paiming,pairming
paizi,paizi,pairzi
pai,pai,pay
panduan,pantuan,pannduann
paobu,paopu,paobuh
pei,pei,pey
peihe,peiho,peyher
piping,piping,pipyng
pizhun,pichun,pijoen
pi,pi,pyi
pibao,pipao,pyibau
pijiu,pichiu,pyijeou
piaojia,piaochia,piawjiah
pingjia,pingchia,pyngjiah
pingguo,pingkuo,pyngguoo
po,po,poh
pohuai,pohuai,pohhuay
pubian,pupien,puubiann
puji,puchi,puujyi
qi,chi,chi
qi,chi,chyi
qici,chitzu,chyitsyh
qishi,chishih,chyishyr
qiguai,chikuai,chyiguay
qihou,chihou,chihhow
qianwan,chienwan,chianwann
qianhou,chienhou,chyanhow
qianjin,chienchin,chyanjinn
qianmian,chienmien,chyanmiann
qianwang,chienwang,chyanwoang
qiang,chiang,chyang
qiangda,chiangta,chyangdah
qiangdiao,chiangtiao,chyangdiaw
qianglie,chianglieh,chyanglieh
qiao,chiao,chyau
qiao,chiao,cheau
qin,chin,chin
qinqie,chinchieh,chinchieh
qinren,chinjen,chinren
qinzi,chintzu,chintzyh
qinggan,chingkan,chynggaan
qingkuang,chingkuang,chyngkuanq
qingjiao,chingchiao,chiingjiaw
qingzhu,chingchu,chinqjuh
qiumi,chiumi,chyoumi
qu,chu,chiu
qubie,chupieh,chiubye
quxiao,chuhsiao,cheushiau
qushi,chushih,chiuhshyh
quanchang,chuanchang,chyuanchaang
quanmian,chuanmien,chyuanmiann
quanqiu,chuanchiu,chyuanchyou
que,chueh,chiue
quedian,chuehtien,chiuedean
queshao,chuehshao,chiueshao
quebao,chuehpao,chiuehbao
queding,chuehting,chiuehdinq
queshi,chuehshih,chiuehshyr
qunzi,chunzi,chyunzi
qun,chun,chyun
re’ai,jeai,rehay
relie,jelieh,rehlieh
rencai,jentsai,rentsair
rengong,jenkung,rengong
renlei,jenlei,renley
renmin,jenmin,renmin
renminbi,jenminpi,renminbih
renqun,jenchun,renchyun
rensheng,jensheng,rensheng
renyuan,jenyuan,renyuan
renchu,jenchu,rennchu
renke,jenko,rennkee
ren,jen,renn
ren,jen,renn
renhe,jenho,rennher
renwu,jenwu,rennwu
reng,jeng,reng
rengran,jengjan,rengran
richang,jihchang,ryhcharng
rongyi,jungi,rongyih
ruhe,juho,ruher
sanbu,sanpu,sannbuh
shafa,shafa,shafa
shazi,shazi,shazi
shang,shang,shang
shangxin,shanghsin,shangshin
shangpin,shangpin,shangpiin
shangye,shangyeh,shangyeh
shanglai,shanglai,shanqlai
shangmian,shangmien,shanqmiann
shangqu,shangchu,shanqchiuh
shangsheng,shangsheng,shanqsheng
shangyi,shangi,shanqi
shebei,shepei,shehbey
sheji,shechi,shehjih
sheli,sheli,shehlih
shehui,shehui,shehhuey
shenfenzheng,shenfencheng,shenfennjenq
shen,shen,shen
shenke,shenko,shenkeh
shenru,shenju,shenruh
sheng,sheng,sheng
sheng,sheng,sheng
shengchan,shengchan,shengchaan
shengcun,shengtsun,shengtswen
shengdong,shengtung,shengdonq
shengming,shengming,shengminq
shengzhang,shengchang,shengjaang
shengming,shengming,shengming
sheng,sheng,shenq
shengli,shengli,shenqlih
shiqu,shihchu,shychiuh
shitou,shihtou,shyrtou
shiyou,shihyu,shyryou
shi,shih,shyr
shidai,shihtai,shyrday
shike,shihko,shyrkeh
shijishang,shihchishang,shyrjihshanq
shili,shihli,shyrlih
shixing,shihhsing,shyrshyng
shiyan,shihyan,shyryann
shiyanshi,shihyanshih,shyryannshyh
shipin,shihpin,shyrpiin
shi,shih,shyy
shizhong,shihchung,shyyjong
shiji,shihchi,shyhjih
shijie,shihchieh,shyhjieh
shijiebei,shihchiehpei,shyhjiehbei
shichang,shihchang,shyhchaang
shigu,shihku,shyhguh
shijian,shihchien,shyhjiann
shishi,shihshih,shyhshyr
shishishang,shihshihshang,shyhshyrshanq
shiye,shihyeh,shyhyeh
shiti,shihti,shyhtyi
shiyan,shihyan,shyhyann
shihe,shihho,shyhher
shiying,shihying,shyhyinq
shiyong,shihyung,shyhyonq
shi,shih,shyh
shoufei,shoufei,shoufey
shoukan,shoukan,shoukann
shouting,shouting,shouting
shouyinji,shouyinchi,shouinji
shouxu,shouhsu,shooushiuh
shouzhi,shouchih,shooujyy
shoudu,shoutu,shooudu
shouxian,shouhsien,shooushian
shou,shou,show
shoushang,shoushang,showshang
shujia,shuchia,shujiah
shu,shu,shu
shuru,shuju,shuruh
shuren,shujen,shwuren
shu,shu,shuu
shuyu,shuyu,shuuyu
shu,shu,shuh
shuliang,shuliang,shuhlianq
shuang,shuang,shuang
shuangfang,shuangfang,shuangfang
sixiang,ssuhsiang,sysheang
si,ssu,syy
sudu,sutu,suhduh
sui,sui,swei
suo,so,suoo
tai,tai,tair
tan,tan,tarn
tanhua,tanhua,tarnhuah
tanpan,tanpan,tarnpann
tang,tang,tang
tang,tang,tarng
tese,tese,tehseh
tiqian,tichien,tyichyan
tiwen,tiwen,tyiwenn
timu,timu,tyimuh
tihui,tihui,tiihuey
tixian,tihsien,tiishiann
tiyan,tiyan,tiiyann
tiankong,tienkung,tiankong
tian,tien,tyan
tiao,tiao,tyau
tiaozheng,tiaocheng,tyaujeeng
tiao,tiao,tiaw
tiaogao,tiaokao,tiawgau
tiaowu,tiaowu,tiawwuu
tiaoyuan,tiaoyuan,tiawyeuan
tie,tieh,tiee
tielu,tiehlu,tieeluh
tingli,tingli,tinglih
tingzhong,tingchung,tingjonq
tingzhi,tingchih,tyngjyy
tongchang,tungchang,tongcharng
tongxin,tunghsin,tongshinn
tongyi,tungi,torngyih
tong,tung,tonq
tongku,tungku,tonqkuu
tou,tou,tour
tounao,tounao,tournao
tuchu,tuchu,tuchu
turan,tujan,turan
tu,tu,twu
tuhua,tuhua,twuhuah
tu,tu,tuu
tuan,tuan,twan
tuanjie,tuanchieh,twanjye
tuanti,tuanti,twantii
tuidong,tuitung,tueidonq
tuiguang,tuikuang,tueigoang
tuijin,tuichin,tueijinn
tuikai,tuikai,tueikai
tui,tui,tuey
tuichu,tuichu,tueychu
tuixiu,tuihsiu,tueyshiou
waijiao,waichiao,wayjiau
waimian,waimien,waymiann
waiwen,waiwen,waywen
wanmei,wanmei,wanmeei
wanshan,wanshan,wanshann
wanzheng,wancheng,wanjeeng
wanju,wanchu,wanjiuh
wangwang,wangwang,woangwoang
weihai,weihai,ueihay
weixian,weihsien,ueishean
wei,wei,wei
wei,wei,wey
wei,wei,wei
weida,weita,woeidah
weisheng,weisheng,weysheng
weishengjian,weishengchien,weyshengjian
weile,weile,weyle
wennuan,wennuan,uennoan
wenhua,wenhua,wenhuah
wenjian,wenchien,wenjiann
wenming,wenming,wenming
wenxue,wenhsueh,wenshyue
wenzhang,wenchang,wenjang
wenzi,wentzu,wentzyh
woshou,woshou,wohshoou
wuzi,wuzi,uzi
wuqi,wuchi,wuuchih
wushu,wushu,wuushuh
wutai,wutai,wuutair
xibu,hsipu,shibuh
xiwang,hsiwang,shiwanq
xi,hsi,shih
xiamian,hsiamien,shiahmiann
xiaqu,hsiachu,shiahchiuh
xianjin,hsienchin,shianjinn
xiande,hsiende,sheande
xianran,hsienjan,sheanran
xianshi,hsienshih,sheanshyh
xianchang,hsienchang,shiannchaang
xiandai,hsientai,shiannday
xianjin,hsienchin,shiannjin
xianshi,hsienshih,shiannshyr
xianxiang,hsienhsiang,shiannshianq
xian,hsien,shiann
xiangbi,hsiangpi,shiangbii
xiangdang,hsiangtang,shiangdang
xiangguan,hsiangkuan,shiangguan
xianghu,hsianghu,shianghuh
xiangsi,hsiangssu,shiangsyh
xiang,hsiang,shiang
xiangjiao,hsiangchiao,shiangjiau
xiaofei,hsiaofei,shiaufey
xiaoshi,hsiaoshih,shiaushy
xiaoxi,hsiaoxi,shiauxi
xiaoguo,hsiaokuo,shiawguoo
xiezuo,hsiehtso,shieetzuoh
xue,hsueh,shiueh
xin,hsin,shin
xin,hsin,shinn
xinfeng,hsinfeng,shinnfeng
xinren,hsinjen,shinnrenn
xingcheng,hsingcheng,shyngcherng
xingshi,hsingshih,shyngshyh
xingxiang,hsinghsiang,shyngshianq
xingzhuang,hsingchuang,shyngjuanq
xingfu,hsingfu,shinqfwu
xingyun,hsingyun,shinqyunn
xing,hsing,shinq
xingbie,hsingpieh,shinqbye
xingge,hsingko,shinqger
xiu,hsiu,shiou
xiugai,hsiukai,shiougae
xuqiu,hsuchiu,shiuchyou
xuyao,hsuyao,shiuyaw
xuanbu,hsuanpu,shiuanbuh
xuanchuan,hsuanchuan,shiuanchwan
xuanshou,hsuanshou,sheuanshoou
xuefei,hsuehfei,shyuefey
xunlian,hsunlien,shiunnliann
ya,ya,ia
yali,yali,ialih
yan,yan,ian
yanqian,yanchien,yeanchyan
yan,yan,yean
yanchang,yanchang,yeanchanq
yanchanghui,yanchanghui,yeanchanqhuey
yanchu,yanchu,yeanchu
yanyuan,yanyuan,yeanyuan
yang,yang,yang
yangguang,yangkuang,yangguang
yaoshi,yaoshi,yawshi
yijia,ichia,ijiah
yi,i,yii
yilai,ilai,yiilai
yishu,ishu,yihshuh
yiwai,iwai,yihway
yiyi,ii,yihyih
yinci,yintzu,intsyy
yin,yin,yn
yinpai,yinpai,ynpair
yinxiang,yinhsiang,yinnshianq
yingdang,yingtang,ingdang
yingjie,yingchieh,yngjie
yingyang,yingyang,yngyeang
ying,ying,yng
yingshi,yingshih,yiingshyh
yingyong,yingyung,yinqyonq
youdian,yutien,ioudean
youshi,yushih,ioushyh
you,yu,you
youyu,yuyu,youyu
youjian,yuchien,youjiann
youpiao,yupiao,youpiaw
youxiang,yuhsiang,youshiang
you,yu,you
youxi,yuhsi,youshih
youyong,yuyung,youyeong
youdeshi,yudeshih,yeoudeshyh
youli,yuli,yeoulih
youxiao,yuhsiao,yeoushiaw
