Pinyin,Wade-Giles,Romatzyh
qunian,chunien,chiuhnian
re,je,reh
ren,jen,ren
renshi,jenshi,rennshi
renzhen,jenchen,rennjen
ri,jih,ryh
riqi,jihchi,ryhchi
rou,jou,row
san,san,san
shan,shan,shan
shangchang,shangchang,shangchaang
shangdian,shangtien,shangdiann
shang,shang,shanq
shangban,shangpan,shanqban
shangche,shangche,shanqche
shangci,shangtzu,shanqtsyh
shangke,shangko,shanqkeh
shangwang,shangwang,shanqwoang
shangwu,shangwu,shanqwuu
shangxue,shanghsueh,shanqshyue
shao,shao,shao
shei,shei,sheir
shenti,shenti,shentii
shenme,shenme,shernme
shengbing,shengping,shengbinq
shengqi,shengchi,shengchih
shengri,shengjih,shengryh
shi,shih,shyr
shihou,shihhou,shyrhou
shijian,shihchien,shyrjian
shi,shih,shyh
shi,shih,shyh
shi,shih,shyh
shou,shou,shoou
shouji,shouchi,shoouji
shu,shu,shu
shubao,shupao,shubau
shudian,shutien,shudiann
shu,shu,shuh
shui,shui,shoei
shuiguo,shuikuo,shoeiguoo
shui,shui,shuey
shuijiao,shuichiao,shueyjiaw
shuohua,shuohua,shuohuah
si,ssu,syh
song,sung,sonq
sui,sui,suey
ta,ta,ta
tamen,tamen,tamen
ta,ta,ta
tamen,tamen,tamen
tai,tai,tay
tian,tien,tian
tianqi,tienchi,tianchih
ting,ting,ting
tingdao,tingtao,tingdaw
tingjian,tingchien,tingjiann
tingxie,tinghsieh,tingshiee
tongxue,tunghsueh,torngshyue
tushuguan,tushukuan,twushugoan
wai,wai,way
waiguo,waikuo,waygwo
waiyu,waiyu,wayyeu
wanr,wanr,wanr
wan,wan,woan
wanfan,wanfan,woanfann
wanshang,wanshang,woanshang
wangshang,wangshang,woangshanq
wangyou,wangyu,woangyeou
wang,wang,wanq
wangji,wangchi,wanqjih
wen,wen,wenn
wo,wo,woo
women,women,woomen
wu,wu,wuu
wufan,wufan,wuufann
xi,hsi,shi
xibian,hsipien,shibian
xi,hsi,shii
xishoujian,hsishouchien,shiishooujian
xihuan,hsihuan,shiihuan
xia,hsia,shiah
xiaban,hsiapan,shiahban
xiache,hsiache,shiahche
xiaci,hsiatzu,shiahtsyh
xiake,hsiako,shiahkeh
xiawu,hsiawu,shiahwuu
xiayu,hsiayu,shiahyeu
xian,hsien,shian
xiansheng,hsiensheng,shiansheng
xianzai,hsientsai,shianntzay
xiang,hsiang,sheang
xiao,hsiao,sheau
xiaohair,hsiaohair,sheauhairr
xiaopengyou,hsiaopengyu,sheauperngyeou
xiaoshi,hsiaoshih,sheaushyr
xiaoxue,hsiaohsueh,sheaushyue
xiaoxuesheng,hsiaohsuehsheng,sheaushyuesheng
xiao,hsiao,shiaw
xie,hsieh,shiee
xiexie,hsiehxie,shiehxie
xin,hsin,shin
xinnian,hsinnien,shinnian
xingqi,hsingchi,shingchi
xingqiri,hsingchijih,shingchiryh
xingqitian,hsingchitien,shingchitian
xing,hsing,shyng
xiuxi,hsiuxi,shiouxi
xue,hsueh,shyue
xuesheng,hsuehsheng,shyuesheng
xuexi,hsuehhsi,shyueshyi
xuexiao,hsuehhsiao,shyueshiaw
xueyuan,hsuehyuan,shyueyuann
yao,yao,yaw
yeye,yehye,yeye
ye,yeh,yee
ye,yeh,yeh
yi,i,i
yifu,ifu,ifu
yisheng,isheng,isheng
yiyuan,iyuan,iyuann
yidianr,itienr,ideanr
yong,yung,yonq
you,yu,yeou
youde,yude,yeoude
youming,yuming,yeouming
youxie,yuhsieh,yeoushie
youyong,yuyung,yeouyonq
you,yu,yow
youbian,yubian,yowbian
yu,yu,yeu
yuan,yuan,yuan
yuan,yuan,yeuan
yue,yueh,yueh
zai,tsai,tzay
zaijian,tsaichien,tzayjiann
zai,tsai,tzay
zaijia,tsaichia,tzayjia
zao,tsao,tzao
zaofan,tsaofan,tzaofann
zaoshang,tsaoshang,tzaoshang
zenme,tsenme,tzeenme
zhan,chan,jann
zhao,chao,jao
zhaodao,chaotao,jaodaw
zhe,che,jeh
zhebian,chepien,jehbian
zheli,cheli,jehlii
zher,cher,jehr
zhexie,chehsieh,jehshie
zhen,chen,jen
zhende,chende,jende
zheng,cheng,jenq
zhengzai,chengtsai,jenqtzay
zhidao,chihtao,jydaw
zhishi,chihshi,jyshi
zhong,chung,jong
zhongguo,chungkuo,jonggwo
zhongjian,chungchien,jongjian
zhongwen,chungwen,jongwen
zhongwu,chungwu,jongwuu
zhongxue,chunghsueh,jongshyue
zhongxuesheng,chunghsuehsheng,jongshyuesheng
zhongyao,chungyao,jonqyaw
zhu,chu,juh
zhunbei,chunpei,joenbey
zhuozi,chozi,juozi
zi,tzu,tzyh
zou,tsou,tzoou
zoulu,tsoulu,tzoouluh
zui,tsui,tzuey
zuihao,tsuihao,tzueyhao
zuihou,tsuihou,tzueyhow
