Слова HSK1,Иероглиф,Цифровое обозначение тонов,Перевод,,,,,,
69,哪,на3,какой,который,,,,,
70,那,на4,тот,то,тогда,,,,
71,呢,нэ5,"фразовая частица,выражающая вопрос -же?",,,,,,
72,能,нэ2нъ,способный,способность,,,,,
73,你,ни3,ты,вы,твой,ваш,,,
74,年,ние2н,год,годы,,,,,
,女,нйю3,,,,,,,
75,女儿,нйю3р,дочь,,,,,,
,朋,пхэ2нъ,приятель,близкий по духу,чета,пар,ровня,содружество,группа
,友,йо3у,группа из двух,дружить,быть в хороших отношениях,,,,
76,朋友,пхэ2нъйо3у,друг,товарищ,друзья,,,,
,漂,пхья1о,возвышенный,замирать,нести на поверхности,,,,
,亮,лья4нъ,светлый ,ясный,яркий,блестящий,радостный,славный,
77,漂亮,пхья1ольянъ5,красивый,,,,,,
,苹,пхи2нъ,яблоко,яблоня,,,,,
,果,гуо3,плод,фрукт,результат,победа,успех,,
78,苹果,пхи2нъгуо3,яблоко,,,,,,
79,七,тьси1,семь,седьмой,,,,,
80,钱,тьсие2н,деньги,,,,,,
,前,тьсие2н,перёд,передняя сторона,послелог,,,,
,面,мье4н,лицо,лицом к,быть обращенным к,поверхность,сторона,,
81,前面,тьсие2нмье4н,перед,передний,впереди,выше,ранее,,
82,请,тьси3нъ,просить,пожалуйста!,приглашать,,,,
83,去,тьсю4,уходить,отправляться,идти,,,,
,热,жэ4,горячий,увлечение,мода,,,,
85,人,жэ2н,человек,люди,,,,,
,认,жэ4н,знать(в лицо),узнавать,распознавать,усваивать,,,
,识,ши2,знать,быть знатоком,хорошо разбираться ,знание,,,
86,认识,жэ4нши5,знать,быть знакомым,знакомиться,,,,
87,日,жи4,солнце,солнечный, день,число,дата,,
88,三,са1н,три ,третий,,,,,
,商,ша1нъ,обсуждать,взвешивать,консультироваться,торговля,коммерция,,
,店,дье4н,магазин,лавка,гостиница,постоялый двор,,,
,商店,ша1нъдье4нъ,магазин,,,,,,
90,上,ша4нъ,верхний,наружный,наверху,вверх,,,
91,上午,ша4нъву3,до полудня,,,,,,
