Chinese,Pinyin,Wade-Giles,Romatzyh
老师,lǎoshī,lao³ shih¹,lao shy
了,le,le,le
累,lèi,lei⁴,ley
冷,lěng,leng³,leeng
里,lǐ,li³,lii
两,liǎng,liang³,leang
零,líng,ling²,ling
〇,líng,ling²,ling
六,liù,liu⁴,liow
楼,lóu,lou²,lou
楼上,lóu shàng,lou² shang⁴,lou shanq
楼下,lóu xià,lou² hsia⁴,lou shiah
路,lù,lu⁴,luh
路口,lù kǒu,lu⁴ k'ou³,luh koou
妈妈,mā ma,ma¹ ma,mha ma
妈,mā,ma¹,mha
马路,mǎ lù,ma³ lu⁴,maa luh
马上,mǎshàng,ma³ shang⁴,maa shanq
买,mǎi,mai³,mae
慢,màn,man⁴,mann
忙,máng,mang²,mang
毛,máo,mao²,mau
没,méi,mei²,mei
没关系,méiguānxi,mei² kuan¹ xi,mei guan xi
没什么,méi shén me,mei² shen² me,mei shern me
没事儿,méi shìr,mei² shih⁴ r,mei shyh r
没有,méi yǒu,mei² yu³,mei yeou
妹妹,mèi mei,mei⁴ mei,mey mei
妹,mèi,mei⁴,mey
门,mén,men²,men
门口,mén kǒu,men² k'ou³,men koou
门票,mén piào,men² p'iao⁴,men piaw
米饭,mǐfàn,mi³ fan⁴,mii fann
面包,miànbāo,mien⁴ pao¹,miann bau
面条儿,miàn tiáor,mien⁴ t'iao² r,miann tyau r
名字,míngzi,ming² zi,ming zi
明白,míngbai,ming² bai,ming bai
明年,míng nián,ming² nien²,ming nian
明天,míngtiān,ming² t'ien¹,ming tian
拿,ná,na²,na
哪,nǎ,na³,naa
哪里,nǎ lǐ,na³ li³,naa lii
哪儿,nǎr,na³ r,naa r
哪些,nǎ xiē,na³ hsieh¹,naa shie
那儿,nàr,na⁴ r,nah r
那些,nà xiē,na⁴ hsieh¹,nah shie
奶,nǎi,nai³,nae
奶奶,nǎinai,nai³ nai,nae nai
男,nán,nan²,nan
男孩儿,nán háir,nan² hai² r,nan hair r
男生,nán shēng,nan² sheng¹,nan sheng
南,nán,nan²,nan
难,nán,nan²,nan
呢,ne,ne,ne
能,néng,neng²,neng
你,nǐ,ni³,nii
你们,nǐ men,ni³ men,nii men
年,nián,nien²,nian
您,nín,nin²,nin
牛奶,niúnǎi,niu² nai³,niou nae
旁边,pángbiān,p'ang² pien¹,parng bian
朋友,péngyou,p'eng² you,perng you
票,piào,p'iao⁴,piaw
七,qī,ch'i¹,chi
起,qǐ,ch'i³,chii
起床,qǐchuáng,ch'i³ ch'uang²,chii chwang
汽车,qì chē,ch'i⁴ ch'e¹,chih che
前,qián,ch'ien²,chyan
前天,qián tiān,ch'ien² t'ien¹,chyan tian
钱,qián,ch'ien²,chyan
钱包,qián bāo,ch'ien² pao¹,chyan bau
请,qǐng,ch'ing³,chiing
请假,qǐngjià,ch'ing³ chia⁴,chiing jiah
请进,qǐng jìn,ch'ing³ chin⁴,chiing jinn
请问,qǐng wèn,ch'ing³ wen⁴,chiing wenn
请坐,qǐng zuò,ch'ing³ tso⁴,chiing tzuoh
球,qiú,ch'iu²,chyou
去,qù,ch'ü⁴,chiuh
去年,qùnián,ch'ü⁴ nien²,chiuh nian
热,rè,je⁴,reh
人,rén,jen²,ren
认识,rènshi,jen⁴ shi,renn shi
认真,rènzhēn,jen⁴ chen¹,renn jen
日,rì,jih⁴,ryh
日期,rìqī,jih⁴ ch'i¹,ryh chi
肉,ròu,jou⁴,row
三,sān,san¹,san
山,shān,shan¹,shan
商场,shāng chǎng,shang¹ ch'ang³,shang chaang
商店,shāngdiàn,shang¹ tien⁴,shang diann
上,shàng,shang⁴,shanq
上班,shàngbān,shang⁴ pan¹,shanq ban
上车,shàng chē,shang⁴ ch'e¹,shanq che
上次,shàng cì,shang⁴ tz'u⁴,shanq tsyh
上课,shàng kè,shang⁴ k'o⁴,shanq keh
上网,shàngwǎng,shang⁴ wang³,shanq woang
上午,shàngwǔ,shang⁴ wu³,shanq wuu
上学,shàng xué,shang⁴ hsüeh²,shanq shyue
少,shǎo,shao³,shao
谁,shéi,shei²,sheir
身体,shēntǐ,shen¹ t'i³,shen tii
什么,shénme,shen² me,shern me
生病,shēngbìng,sheng¹ ping⁴,sheng binq
生气,shēngqì,sheng¹ ch'i⁴,sheng chih
生日,shēngrì,sheng¹ jih⁴,sheng ryh
十,shí,shih²,shyr
时候,shíhou,shih² hou,shyr hou
时间,shíjiān,shih² chien¹,shyr jian
事,shì,shih⁴,shyh
试,shì,shih⁴,shyh
是,shì,shih⁴,shyh
手,shǒu,shou³,shoou
手机,shǒujī,shou³ chi¹,shoou ji
书,shū,shu¹,shu
书包,shū bāo,shu¹ pao¹,shu bau
书店,shū diàn,shu¹ tien⁴,shu diann
树,shù,shu⁴,shuh
水,shuǐ,shui³,shoei
水果,shuǐguǒ,shui³ kuo³,shoei guoo
睡,shuì,shui⁴,shuey
睡觉,shuìjiào,shui⁴ chiao⁴,shuey jiaw
说话,shuōhuà,shuo¹ hua⁴,shuo huah
四,sì,ssu⁴,syh
送,sòng,sung⁴,sonq
岁,suì,sui⁴,suey
他,tā,t'a¹,ta
他们,tā men,t'a¹ men,ta men
她,tā,t'a¹,ta
她们,tā men,t'a¹ men,ta men
太,tài,t'ai⁴,tay
天,tiān,t'ien¹,tian
天气,tiānqì,t'ien¹ ch'i⁴,tian chih
听,tīng,t'ing¹,ting
听到,tīng dào,t'ing¹ tao⁴,ting daw
听见,tīng jiàn,t'ing¹ chien⁴,ting jiann
听写,tīng xiě,t'ing¹ hsieh³,ting shiee
同学,tóngxué,t'ung² hsüeh²,torng shyue
图书馆,túshūguǎn,t'u² shu¹ kuan³,twu shu goan
外,wài,wai⁴,way
外国,wài guó,wai⁴ kuo²,way gwo
外语,wài yǔ,wai⁴ yü³,way yeu
玩儿,wánr,wan² r,wan r
晚,wǎn,wan³,woan
晚饭,wǎn fàn,wan³ fan⁴,woan fann
晚上,wǎnshang,wan³ shang,woan shang
网上,wǎng shàng,wang³ shang⁴,woang shanq
网友,wǎng yǒu,wang³ yu³,woang yeou
忘,wàng,wang⁴,wanq
忘记,wàngjì,wang⁴ chi⁴,wanq jih
问,wèn,wen⁴,wenn
我,wǒ,wo³,woo
我们,wǒmen,wo³ men,woo men
五,wǔ,wu³,wuu
午饭,wǔ fàn,wu³ fan⁴,wuu fann
西,xī,hsi¹,shi
西边,xī biān,hsi¹ pien¹,shi bian
洗,xǐ,hsi³,shii
洗手间,xǐshǒujiān,hsi³ shou³ chien¹,shii shoou jian
喜欢,xǐhuan,hsi³ huan,shii huan
下,xià,hsia⁴,shiah
下班,xià bān,hsia⁴ pan¹,shiah ban
下车,xià chē,hsia⁴ ch'e¹,shiah che
下次,xià cì,hsia⁴ tz'u⁴,shiah tsyh
下课,xià kè,hsia⁴ k'o⁴,shiah keh
下午,xiàwǔ,hsia⁴ wu³,shiah wuu
下雨,xiàyǔ,hsia⁴ yü³,shiah yeu
先,xiān,hsien¹,shian
先生,xiānsheng,hsien¹ sheng,shian sheng
现在,xiànzài,hsien⁴ tsai⁴,shiann tzay
想,xiǎng,hsiang³,sheang
小,xiǎo,hsiao³,sheau
小孩儿,xiǎo háir,hsiao³ hai² r,sheau hair r
小朋友,xiǎo péng yǒu,hsiao³ p'eng² yu³,sheau perng yeou
小时,xiǎoshí,hsiao³ shih²,sheau shyr
小学,xiǎo xué,hsiao³ hsüeh²,sheau shyue
小学生,xiǎo xué shēng,hsiao³ hsüeh² sheng¹,sheau shyue sheng
笑,xiào,hsiao⁴,shiaw
写,xiě,hsieh³,shiee
谢谢,xièxie,hsieh⁴ xie,shieh xie
新,xīn,hsin¹,shin
新年,xīn nián,hsin¹ nien²,shin nian
星期,xīngqī,hsing¹ ch'i¹,shing chi
星期日,xīng qī rì,hsing¹ ch'i¹ jih⁴,shing chi ryh
星期天,xīng qī tiān,hsing¹ ch'i¹ t'ien¹,shing chi tian
行,xíng,hsing²,shyng
休息,xiūxi,hsiu¹ xi,shiou xi
学,xué,hsüeh²,shyue
学生,xuésheng,hsüeh² sheng,shyue sheng
学习,xuéxí,hsüeh² hsi²,shyue shyi
学校,xuéxiào,hsüeh² hsiao⁴,shyue shiaw
学院,xué yuàn,hsüeh² yüan⁴,shyue yuann
要,yào,yao⁴,yaw
爷爷,yéye,yeh² ye,ye ye
也,yě,yeh³,yee
页,yè,yeh⁴,yeh
一,yī,i¹,i
衣服,yīfu,i¹ fu,i fu
医生,yīshēng,i¹ sheng¹,i sheng
医院,yīyuàn,i¹ yüan⁴,i yuann
一点儿,yīdiǎnr,i¹ tien³ r,i dean r
用,yòng,yung⁴,yonq
有,yǒu,yu³,yeou
有的,yǒu de,yu³ de,yeou de
有名,yǒumíng,yu³ ming²,yeou ming
有些,yǒu  xiē,yu³ hsieh¹,yeou shie
有用,yǒu yòng,yu³ yung⁴,yeou yonq
右,yòu,yu⁴,yow
右边,yòubian,yu⁴ bian,yow bian
雨,yǔ,yü³,yeu
元,yuán,yüan²,yuan
远,yuǎn,yüan³,yeuan
月,yuè,yüeh⁴,yueh
再,zài,tsai⁴,tzay
再见,zàijiàn,tsai⁴ chien⁴,tzay jiann
在,zài,tsai⁴,tzay
在家,zài jiā,tsai⁴ chia¹,tzay jia
早,zǎo,tsao³,tzao
早饭,zǎo fàn,tsao³ fan⁴,tzao fann
早上,zǎoshang,tsao³ shang,tzao shang
怎么,zěnme,tsen³ me,tzeen me
站,zhàn,chan⁴,jann
找,zhǎo,chao³,jao
找到,zhǎo dào,chao³ tao⁴,jao daw
这,zhè,che⁴,jeh
这边,zhè biān,che⁴ pien¹,jeh bian
这里,zhè lǐ,che⁴ li³,jeh lii
这儿,zhèr,che⁴ r,jeh r
这些,zhè xiē,che⁴ hsieh¹,jeh shie
真,zhēn,chen¹,jen
真的,zhēn de,chen¹ de,jen de
正,zhèng,cheng⁴,jenq
正在,zhèngzài,cheng⁴ tsai⁴,jenq tzay
知道,zhīdào,chih¹ tao⁴,jy daw
知识,zhīshi,chih¹ shi,jy shi
中,zhōng,chung¹,jong
中国,zhōngguó,chung¹ kuo²,jong gwo
中间,zhōngjiān,chung¹ chien¹,jong jian
中文,zhōngwén,chung¹ wen²,jong wen
中午,zhōngwǔ,chung¹ wu³,jong wuu
中学,zhōng xué,chung¹ hsüeh²,jong shyue
中学生,zhōng xué shēng,chung¹ hsüeh² sheng¹,jong shyue sheng
重要,zhòngyào,chung⁴ yao⁴,jonq yaw
住,zhù,chu⁴,juh
准备,zhǔnbèi,chun³ pei⁴,joen bey
桌子,zhuōzi,cho¹ zi,juo zi
字,zì,tzu⁴,tzyh
走,zǒu,tsou³,tzoou
走路,zǒu lù,tsou³ lu⁴,tzoou luh
最,zuì,tsui⁴,tzuey
最好,zuìhǎo,tsui⁴ hao³,tzuey hao
最后,zuìhòu,tsui⁴ hou⁴,tzuey how
昨天,zuótiān,tso² t'ien¹,tzwo tian
左,zuǒ,tso³,tzuoo
左边,zuǒbian,tso³ bian,tzuoo bian
坐,zuò,tso⁴,tzuoh
爱情,àiqíng,ai⁴ ch'ing²,ay chyng
安静,ānjìng,an¹ ching⁴,an jinq
安全,ānquán,an¹ ch'üan²,an chyuan
白色,bái sè,pai² se⁴,bair seh
班长,bān zhǎng,pan¹ chang³,ban jaang
办,bàn,pan⁴,bann
办法,bànfǎ,pan⁴ fa³,bann faa
办公室,bàngōngshì,pan⁴ kung¹ shih⁴,bann gong shyh
半夜,bàn yè,pan⁴ yeh⁴,bann yeh
帮助,bāngzhù,pang¹ chu⁴,bang juh
饱,bǎo,pao³,bao
报名,bàomíng,pao⁴ ming²,baw ming
报纸,bàozhǐ,pao⁴ chih³,baw jyy
北方,běifāng,pei³ fang¹,beei fang
背,bēi,pei¹,bei
比如,bǐrú,pi³ ju²,bii ru
比如说,bǐ rú shuō,pi³ ju² shuo¹,bii ru shuo
笔,bǐ,pi³,bii
笔记,bǐ jì,pi³ chi⁴,bii jih
笔记本,bǐjìběn,pi³ chi⁴ pen³,bii jih been
必须,bìxū,pi⁴ hsü¹,bih shiu
边,biān,pien¹,bian
变,biàn,pien⁴,biann
变成,biàn chéng,pien⁴ ch'eng²,biann cherng
遍,biàn,pien⁴,biann
表,biǎo,piao³,beau
表示,biǎoshì,piao³ shih⁴,beau shyh
不久,bù jiǔ,pu⁴ chiu³,buh jeou
不满,bù mǎn,pu⁴ man³,buh maan
不如,bùrú,pu⁴ ju²,buh ru
不少,bù shǎo,pu⁴ shao³,buh shao
不同,bù tóng,pu⁴ t'ung²,buh torng
不行,bù xíng,pu⁴ hsing²,buh shyng
不一定,bù yī dìng,pu⁴ i¹ ting⁴,buh i dinq
部分,bùfen,pu⁴ fen,buh fen
才,cái,ts'ai²,tsair
菜单,càidān,ts'ai⁴ tan¹,tsay dan
参观,cānguān,ts'an¹ kuan¹,tsan guan
参加,cānjiā,ts'an¹ chia¹,tsan jia
草,cǎo,ts'ao³,tsao
草地,cǎo dì,ts'ao³ ti⁴,tsao dih
层,céng,ts'eng²,tserng
查,chá,ch'a²,char
差不多,chàbuduō,ch'a⁴ bu to¹,chah bu duo
长,cháng,ch'ang²,charng
常见,cháng jiàn,ch'ang² chien⁴,charng jiann
常用,cháng yòng,ch'ang² yung⁴,charng yonq
超过,chāoguò,ch'ao¹ kuo⁴,chau guoh
超市,chāoshì,ch'ao¹ shih⁴,chau shyh
车辆,chē liàng,ch'e¹ liang⁴,che lianq
称¹,chēng,ch'eng¹,cheng
成,chéng,ch'eng²,cherng
成绩,chéngjì,ch'eng² chi⁴,cherng jih
